Game Data,,,,,,,,,Quarterback,,,,,,,,,,,,,,,,,,,,,Running Back,,,,,,,,,,,Receiver,,,,,,,,,,,,,,Offensive Line,,,,,,Off-Penalty,,,,,Defense,,,,,,,,,,,Coverage,,,,,,,,Def-Penalty,,,,
Play#,Off,Def,Q,Dwn,Y2G,Half,Yd Ln,Res,QB,SG/UC,Att,Comp,Dir,AirYds,Tyds,Press,Pock,Scram?,Acc,Int,TD,DPInt,TA,BP,Fum,Sk,Ht,Hur,Note,RB,Att,Yds,YAC,1D,TD,MT,Stuff,Fum,FumL,Note,WR,Tgt,Rec,Cont,AirYds,Tyds,YAC,MT,Drop,EZ,1D,TD,Fum,Note,OL1,Pos,Hur,Hit,Sk,Note,Player,Type,Yds,Acc/Dec,Note,Defender,Tackle,MT,Stuff,Sack,Hit,Hur,FF,FumR,BP,D-TD,Tgt,Comp,Cont,PD,TD,Int,PI,Note,Player,Type,Yds,Acc/Dec,Note
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Austin Shepherd 79,RT,1,,,,,,,,,Joey Bosa 97,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eli Apple 13,1,,,,,,,,,,,,,,,,,,,,,,
36,BAMA,OSU,1,1,10,Opp,15,TD,Blake Sims 6,UC,1,1,Right,18,15,0,0,,,,1,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,1,0,18,15,0,,,1,,1,,, ,,,,,,,,,,,Doran Grant 12,,,,,,,,,,,1,1,0,,1,,,,,,,,
37,OSU,BAMA,1,1,10,Own,12, ,, ,,, ,,,,,,,,,,,,,,,,,Jalin Marshall 17,1,2,0,,,,,,,Tap pass, ,,,,,,,,,,,,,, ,,,,,,,,,,,Eddie Jackson 4,1,,,,,,,,,,,,,,,,,,,,,,
38,OSU,BAMA,1,2,8,Own,14, ,Cardale Jones 12,SG,,, ,,,1,,,,,,,,,,1,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Billy Price 54,LG,,,1,Pull,,,,,,Xzavier Dickson 47,1,,,1,,,,,,,,,,,,,,,,,,,
39,OSU,BAMA,1,3,20,Own,2, , ,,,,,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,12,1,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Nick Perry 27,,1,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , , ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
40,BAMA,OSU,2,1,10,Own,39, ,Blake Sims 6,SG,1,1,Right,7,7,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,1,0,7,7,0,,,,,,,, ,,,,,,,,,,,Eli Apple 13,1,,,,,,,,,,1,1,0,,,,,,,,,,
41,BAMA,OSU,2,2,3,Own,46, ,Blake Sims 6,SG,1,1,Left,-4,0,0,1,,,,,,,,,,,,, ,,,,,,,,,,,Amari Cooper 9,1,1,0,-4,0,4,,,,,,,, ,,,,,,,,,,,Darron Lee 43,1,,1,,,,,,,,1,1,0,,,,,,,,,,
42,BAMA,OSU,2,3,3,Own,46, ,, ,,, ,,,,,,,,,,,,,,,,,T.J. Yeldon 4,1,0,0,,,,1,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Curtis Grant 14,1,,1,,,,,,,,,,,,,,,,,,,,
43,OSU,BAMA,2,1,10,Own,5, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,9,4,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Trey DePriest 33,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Dalvin Tomlinson 54,1,,,,,,,,,,,,,,,,,,,,,,
44,OSU,BAMA,2,2,1,Own,14,First,, ,,, ,,,,,,,,,,,,,,,,,Jalin Marshall 17,1,1,1,1,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Denzel Devall 30,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Reggie Ragland 19,1,,,,,,,,,,,,,,,,,,,,,,
45,OSU,BAMA,2,1,10,Own,15, ,Cardale Jones 12,SG,1,1,Right,0,0,1,0,,,,,,,,,,,1,, ,,,,,,,,,,,Michael Thomas 3,1,1,1,0,0,0,,,,,,,, ,,,,,,,,,,,Nick Perry 27,1,,1,,,,,,,,1,1,1,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Denzel Devall 30,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Taylor Decker 68,LT,1,,,,,,,,,Dalvin Tomlinson 54,,,,,,1,,,,,,,,,,,,,,,,,
46,OSU,BAMA,2,2,10,Own,15, ,Cardale Jones 12,SG,1,0, ,,,,,,,,,,,1,,,,1,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Billy Price 54,LG,,1,,,,,,,,A'Shawn Robinson 86,,,,,1,,,,1,,,,,,,,,,,,,,
47,OSU,BAMA,2,3,10,Own,15,First,Cardale Jones 12,SG,1,1,Right,11,14,1,1,,,,,,,,,,,,, ,,,,,,,,,,,Michael Thomas 3,1,1,0,11,14,3,,,,1,,,, ,,,,,,,,,,,Nick Perry 27,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Landon Collins 26,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Daryl Baldwin 76,RT,1,,,,,,,,,Eddie Jackson 4,,,,,,1,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Pat Elflein 65,RG,1,,,,,,,,,Xzavier Dickson 47,,,,,,1,,,,,,,,,,,,,,,,,
48,OSU,BAMA,2,1,10,Own,29, ,, ,,, ,,,,,,,,,,,,,,,,,Ezekiel Elliott 15,1,2,0,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Xzavier Dickson 47,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,A'Shawn Robinson 86,1,,,,,,,,,,,,,,,,,,,,,,
49,OSU,BAMA,2,2,8,Own,31, ,Cardale Jones 12,SG,1,0,Left,14,,0,1,,Un,1,,,,,,,,,Threw to wrong route, ,,,,,,,,,,,Devin Smith 9,1,0,1,14,,,,,,,,,, ,,,,,,,,,,,Cyrus Jones 5,,,,,,,,,,,1,0,1,,,1,,,,,,,
50,BAMA,OSU,2,1,10,Opp,15, ,Blake Sims 6,SG,1,1,Right,4,4,1,0,,,,,,,,,,,1,, ,,,,,,,,,,,Brian Vogler 84,1,1,0,4,4,0,,,,,,,, , ,,,,,,,,,,Joshua Perry 37,,,,,,,,,,,1,1,0,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,,,,,,,,Tyvis Powell 23,1,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , ,, ,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,, ,,,,,,,,,,,,,,Derrick Henry 27,RB,1,,,,,,,,,Joey Bosa 97,,,,,,1,,,,,,,,,,,,,,,,,
51,BAMA,OSU,2,2,6,Opp,11, ,Blake Sims 6,SG,1,1,Right,1,5,1,1,,,,,,,,,,,1,, ,,,,,,,,,,,Brian Vogler 84,1,1,0,1,5,4,,,,,,,, ,,,,,,,,,,,Tyvis Powell 23,1,,,,,,,,,,1,1,0,,,,,,,,,,
